latitude,longitude,geometry,OBJECTID_1,OBJECTID,NAMA,JENIS,KELURAHAN,KECAMATAN,KOTA_ADMIN
-6.167858077,106.7897669,Point,2866,8850,GEDUNG P (UNIVERSITAS TRISAKTI),SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.168490118,106.7903529,Point,2867,8851,"GEDUNG K, I, H (UNIVERSITAS TRISAKTI)",SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.168085874,106.7909047,Point,2868,8852,GEDUNG F & G (UNIVERSITAS TRISAKTI),SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.167774298,106.7910537,Point,2869,8853,GEDUNG A2 (UNIVERSITAS TRISAKTI),SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.1676102,106.7910506,Point,2870,8854,GEDUNG A1 (UNIVERSITAS TRISAKTI),SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.16732765,106.7905794,Point,2871,8855,GEDUNG T (UNIVERSITAS TRISAKTI),SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.167295259,106.790979,Point,2872,8856,GEDUNG C (UNIVERSITAS TRISAKTI),SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.168182053,106.7914889,Point,2873,8857,FAKULTAS TEKNIK ELEKTRO UNIVERSITAS TRISAKTI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.16766545,106.7915934,Point,2874,8858,GEDUNG D (UNIVERSITAS TRISAKTI),SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.167593345,106.7938295,Point,2875,8859,UNIVERSITAS TRISAKTI SCHOOL OF MANAGEMENT,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.167130099,106.7968673,Point,2876,8860,FAKULTAS KEDOKTERAN UNIVERSITAS TRISAKTI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.167575538,106.7899535,Point,2877,8861,GEDUNG R (UNIVERSITAS TRISAKTI),SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.169199288,106.7908822,Point,2878,8862,GEDUNG L (UNIVERSITAS TRISAKTI),SEKOLAH / BANGUNAN PENDIDIKAN, , , 
